AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:37:46 Compatible with AeroDyn v13.0.
Polar "T1_Re0.600_M0.00_N9.0 360 M" on Foil "T1_Re0.600_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.39          Angle of attack for zero Cn for linear Cn curve (deg)
6.50300        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8703        Cn at stall value for positive angle of attack for linear Cn curve
-0.9812        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0118         Minimum CD value
   -180.00   -0.0413    0.0060
   -179.00   -0.0022    0.0065
   -178.00    0.0344    0.0081
   -177.00    0.0691    0.0106
   -176.00    0.1024    0.0143
   -175.00    0.1345    0.0189
   -174.00    0.1655    0.0245
   -173.00    0.1957    0.0312
   -172.00    0.2250    0.0388
   -171.00    0.2536    0.0475
   -170.00    0.2815    0.0571
   -169.00    0.3087    0.0677
   -168.00    0.3352    0.0792
   -167.00    0.3610    0.0917
   -166.00    0.3860    0.1051
   -165.00    0.4103    0.1195
   -164.00    0.4339    0.1347
   -163.00    0.4566    0.1507
   -162.00    0.4786    0.1677
   -161.00    0.4997    0.1854
   -160.00    0.5199    0.2040
   -159.00    0.5393    0.2233
   -158.00    0.5578    0.2434
   -157.00    0.5754    0.2642
   -156.00    0.5920    0.2858
   -155.00    0.6077    0.3080
   -154.00    0.6225    0.3309
   -153.00    0.6362    0.3544
   -152.00    0.6490    0.3785
   -151.00    0.6608    0.4032
   -150.00    0.6716    0.4284
   -149.00    0.6813    0.4542
   -148.00    0.6901    0.4804
   -147.00    0.6978    0.5070
   -146.00    0.7045    0.5341
   -145.00    0.7102    0.5615
   -144.00    0.7149    0.5893
   -143.00    0.7186    0.6174
   -142.00    0.7212    0.6458
   -141.00    0.7228    0.6744
   -140.00    0.7235    0.7032
   -139.00    0.7231    0.7322
   -138.00    0.7218    0.7613
   -137.00    0.7195    0.7906
   -136.00    0.7163    0.8199
   -135.00    0.7121    0.8492
   -134.00    0.7069    0.8785
   -133.00    0.7009    0.9078
   -132.00    0.6940    0.9370
   -131.00    0.6861    0.9661
   -130.00    0.6775    0.9951
   -129.00    0.6642    1.0238
   -128.00    0.6540    1.0524
   -127.00    0.6429    1.0807
   -126.00    0.6311    1.1087
   -125.00    0.6185    1.1364
   -124.00    0.6052    1.1637
   -123.00    0.5911    1.1907
   -122.00    0.5764    1.2172
   -121.00    0.5610    1.2433
   -120.00    0.5450    1.2689
   -119.00    0.5283    1.2940
   -118.00    0.5111    1.3185
   -117.00    0.4932    1.3425
   -116.00    0.4749    1.3658
   -115.00    0.4560    1.3886
   -114.00    0.4367    1.4106
   -113.00    0.4168    1.4320
   -112.00    0.3966    1.4527
   -111.00    0.3759    1.4726
   -110.00    0.3549    1.4918
   -109.00    0.3335    1.5102
   -108.00    0.3118    1.5278
   -107.00    0.2898    1.5446
   -106.00    0.2675    1.5605
   -105.00    0.2450    1.5755
   -104.00    0.2222    1.5897
   -103.00    0.1993    1.6030
   -102.00    0.1762    1.6153
   -101.00    0.1529    1.6267
   -100.00    0.1296    1.6372
    -99.00    0.1061    1.6467
    -98.00    0.0826    1.6553
    -97.00    0.0591    1.6628
    -96.00    0.0355    1.6694
    -95.00    0.0120    1.6750
    -94.00   -0.0115    1.6795
    -93.00   -0.0350    1.6831
    -92.00   -0.0583    1.6856
    -91.00   -0.0816    1.6872
    -90.00   -0.1047    1.6877
    -89.00   -0.1277    1.6872
    -88.00   -0.1505    1.6856
    -87.00   -0.1730    1.6831
    -86.00   -0.1954    1.6795
    -85.00   -0.2175    1.6750
    -84.00   -0.2394    1.6694
    -83.00   -0.2609    1.6628
    -82.00   -0.2822    1.6552
    -81.00   -0.3031    1.6467
    -80.00   -0.3237    1.6372
    -79.00   -0.3439    1.6267
    -78.00   -0.3638    1.6153
    -77.00   -0.3832    1.6029
    -76.00   -0.4022    1.5897
    -75.00   -0.4208    1.5755
    -74.00   -0.4389    1.5604
    -73.00   -0.4566    1.5445
    -72.00   -0.4737    1.5278
    -71.00   -0.4904    1.5102
    -70.00   -0.5065    1.4918
    -69.00   -0.5221    1.4726
    -68.00   -0.5371    1.4526
    -67.00   -0.5516    1.4319
    -66.00   -0.5655    1.4106
    -65.00   -0.5788    1.3885
    -64.00   -0.5915    1.3657
    -63.00   -0.6036    1.3424
    -62.00   -0.6150    1.3184
    -61.00   -0.6258    1.2939
    -60.00   -0.6359    1.2688
    -59.00   -0.6454    1.2432
    -58.00   -0.6542    1.2171
    -57.00   -0.6624    1.1905
    -56.00   -0.6698    1.1636
    -55.00   -0.6765    1.1362
    -54.00   -0.6825    1.1085
    -53.00   -0.6878    1.0805
    -52.00   -0.6924    1.0522
    -51.00   -0.6963    1.0236
    -50.00   -0.6994    0.9948
    -49.00   -0.7018    0.9659
    -48.00   -0.7034    0.9367
    -47.00   -0.7043    0.9075
    -46.00   -0.7044    0.8782
    -45.00   -0.7038    0.8489
    -44.00   -0.7025    0.8195
    -43.00   -0.7004    0.7902
    -42.00   -0.6975    0.7609
    -41.00   -0.6939    0.7317
    -40.00   -0.6896    0.7027
    -39.00   -0.6845    0.6738
    -38.00   -0.6787    0.6452
    -37.00   -0.6722    0.6167
    -36.00   -0.6650    0.5886
    -35.00   -0.6571    0.5607
    -34.00   -0.6485    0.5332
    -33.00   -0.6392    0.5060
    -32.00   -0.6294    0.4793
    -31.00   -0.6189    0.4529
    -30.00   -0.6079    0.4271
    -29.00   -0.5964    0.4017
    -28.00   -0.5846    0.3768
    -27.00   -0.5724    0.3524
    -26.00   -0.5600    0.3286
    -25.00   -0.5476    0.3053
    -24.00   -0.5354    0.2826
    -23.00   -0.5239    0.2605
    -22.00   -0.5134    0.2389
    -21.00   -0.5048    0.2178
    -20.00   -0.4992    0.1972
    -19.00   -0.4983    0.1769
    -18.00   -0.5048    0.1568
    -17.00   -0.5230    0.1366
    -16.00   -0.5591    0.1159
    -15.00   -0.6216    0.0944
    -14.00   -0.7172    0.0720
    -13.00   -0.8396    0.0498
    -12.00   -0.9514    0.0311
    -11.00   -0.9958    0.0193
    -10.00   -0.8797    0.0228
     -9.50   -0.8413    0.0214
     -9.00   -0.7975    0.0204
     -8.50   -0.7518    0.0194
     -8.00   -0.7044    0.0185
     -7.50   -0.6575    0.0175
     -7.00   -0.6156    0.0156
     -6.50   -0.5658    0.0146
     -6.00   -0.5135    0.0139
     -5.50   -0.4613    0.0131
     -5.00   -0.4079    0.0124
     -4.50   -0.3517    0.0123
     -4.00   -0.2954    0.0121
     -3.50   -0.2389    0.0120
     -3.00   -0.1823    0.0120
     -2.50   -0.1256    0.0119
     -2.00   -0.0689    0.0119
     -1.50   -0.0121    0.0118
     -1.00    0.0447    0.0118
     -0.50    0.1015    0.0118
      0.00    0.1582    0.0119
      0.50    0.2149    0.0119
      1.00    0.2715    0.0120
      1.50    0.3280    0.0121
      2.00    0.3843    0.0122
      2.50    0.4405    0.0123
      3.00    0.4965    0.0124
      3.50    0.5524    0.0126
      4.00    0.6079    0.0127
      4.50    0.6632    0.0129
      5.00    0.7181    0.0132
      5.50    0.7726    0.0134
      6.00    0.8267    0.0137
      6.50    0.8779    0.0142
      7.00    0.9220    0.0154
      7.50    0.9664    0.0165
      8.00    1.0104    0.0175
      8.50    1.0469    0.0189
      9.00    1.0759    0.0207
      9.50    1.1087    0.0216
     10.00    1.1355    0.0232
     10.50    1.1572    0.0252
     11.00    1.1775    0.0276
     11.50    1.1924    0.0307
     12.00    1.2034    0.0347
     12.50    1.2124    0.0397
     13.50    1.2152    0.0509
     14.00    1.2172    0.0559
     14.50    1.2147    0.0619
     15.00    1.2076    0.0690
     15.50    1.1952    0.0775
     16.00    1.1757    0.0880
     16.50    1.1480    0.1012
     17.00    1.1050    0.1190
     18.00    1.0658    0.1191
     19.00    1.0306    0.1400
     20.00    1.0006    0.1619
     21.00    0.9760    0.1846
     22.00    0.9568    0.2079
     23.00    0.9425    0.2318
     24.00    0.9326    0.2563
     25.00    0.9264    0.2812
     26.00    0.9234    0.3066
     27.00    0.9230    0.3325
     28.00    0.9248    0.3588
     29.00    0.9283    0.3855
     30.00    0.9331    0.4127
     31.00    0.9390    0.4402
     32.00    0.9456    0.4681
     33.00    0.9527    0.4963
     34.00    0.9602    0.5249
     35.00    0.9677    0.5537
     36.00    0.9752    0.5829
     37.00    0.9826    0.6123
     38.00    0.9897    0.6419
     39.00    0.9964    0.6717
     40.00    1.0027    0.7017
     41.00    1.0084    0.7319
     42.00    1.0134    0.7621
     43.00    1.0178    0.7924
     44.00    1.0215    0.8228
     45.00    1.0244    0.8531
     46.00    1.0264    0.8835
     47.00    1.0276    0.9138
     48.00    1.0279    0.9439
     49.00    1.0273    0.9740
     50.00    1.0257    1.0039
     51.00    1.0231    1.0336
     52.00    1.0196    1.0631
     53.00    1.0150    1.0923
     54.00    1.0094    1.1212
     55.00    1.0028    1.1497
     56.00    0.9951    1.1779
     57.00    0.9863    1.2057
     58.00    0.9765    1.2331
     59.00    0.9656    1.2600
     60.00    0.9537    1.2864
     61.00    0.9407    1.3123
     62.00    0.9267    1.3376
     63.00    0.9115    1.3623
     64.00    0.8954    1.3864
     65.00    0.8782    1.4099
     66.00    0.8600    1.4326
     67.00    0.8407    1.4547
     68.00    0.8205    1.4761
     69.00    0.7993    1.4966
     70.00    0.7771    1.5164
     71.00    0.7540    1.5354
     72.00    0.7300    1.5536
     73.00    0.7050    1.5709
     74.00    0.6792    1.5873
     75.00    0.6525    1.6029
     76.00    0.6251    1.6175
     77.00    0.5968    1.6312
     78.00    0.5678    1.6440
     79.00    0.5380    1.6558
     80.00    0.5075    1.6666
     81.00    0.4764    1.6765
     82.00    0.4447    1.6853
     83.00    0.4124    1.6932
     84.00    0.3795    1.7000
     85.00    0.3461    1.7058
     86.00    0.3123    1.7105
     87.00    0.2780    1.7142
     88.00    0.2434    1.7169
     89.00    0.2084    1.7185
     90.00    0.1731    1.7191
     91.00    0.1376    1.7186
     92.00    0.1018    1.7170
     93.00    0.0659    1.7144
     94.00    0.0299    1.7108
     95.00   -0.0061    1.7061
     96.00   -0.0422    1.7004
     97.00   -0.0782    1.6937
     98.00   -0.1142    1.6860
     99.00   -0.1500    1.6772
    100.00   -0.1856    1.6675
    101.00   -0.2210    1.6567
    102.00   -0.2562    1.6450
    103.00   -0.2910    1.6323
    104.00   -0.3254    1.6187
    105.00   -0.3594    1.6042
    106.00   -0.3929    1.5887
    107.00   -0.4259    1.5724
    108.00   -0.4584    1.5552
    109.00   -0.4902    1.5371
    110.00   -0.5214    1.5182
    111.00   -0.5519    1.4985
    112.00   -0.5816    1.4781
    113.00   -0.6105    1.4569
    114.00   -0.6386    1.4349
    115.00   -0.6658    1.4123
    116.00   -0.6959    1.3890
    117.00   -0.7213    1.3650
    118.00   -0.7456    1.3405
    119.00   -0.7690    1.3153
    120.00   -0.7913    1.2896
    121.00   -0.8125    1.2634
    122.00   -0.8326    1.2367
    123.00   -0.8515    1.2095
    124.00   -0.8693    1.1819
    125.00   -0.8859    1.1539
    126.00   -0.9012    1.1256
    127.00   -0.9154    1.0970
    128.00   -0.9282    1.0680
    129.00   -0.9398    1.0388
    130.00   -0.9501    1.0094
    131.00   -0.9591    0.9799
    132.00   -0.9667    0.9501
    133.00   -0.9731    0.9203
    134.00   -0.9781    0.8904
    135.00   -0.9817    0.8605
    136.00   -0.9841    0.8306
    137.00   -0.9851    0.8007
    138.00   -0.9847    0.7709
    139.00   -0.9830    0.7412
    140.00   -0.9800    0.7117
    141.00   -0.9756    0.6824
    142.00   -0.9700    0.6532
    143.00   -0.9631    0.6244
    144.00   -0.9549    0.5958
    145.00   -0.9454    0.5676
    146.00   -0.9347    0.5397
    147.00   -0.9228    0.5122
    148.00   -0.9097    0.4851
    149.00   -0.8954    0.4585
    150.00   -0.8800    0.4324
    151.00   -0.8636    0.4069
    152.00   -0.8461    0.3818
    153.00   -0.8275    0.3574
    154.00   -0.8080    0.3336
    155.00   -0.7876    0.3104
    156.00   -0.7663    0.2879
    157.00   -0.7442    0.2662
    158.00   -0.7214    0.2451
    159.00   -0.6978    0.2248
    160.00   -0.6737    0.2052
    161.00   -0.6490    0.1865
    162.00   -0.6239    0.1686
    163.00   -0.5984    0.1515
    164.00   -0.5727    0.1353
    165.00   -0.5469    0.1200
    166.00   -0.5211    0.1056
    167.00   -0.4955    0.0921
    168.00   -0.4702    0.0795
    169.00   -0.4455    0.0679
    170.00   -0.4214    0.0573
    171.00   -0.3981    0.0476
    172.00   -0.3756    0.0389
    173.00   -0.3535    0.0312
    174.00   -0.3310    0.0246
    175.00   -0.3063    0.0189
    176.00   -0.2766    0.0143
    177.00   -0.2380    0.0107
    178.00   -0.1866    0.0081
    179.00   -0.1205    0.0065
    180.00   -0.0413    0.0060
    180.00   -0.0413    0.0060
