AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 16:01:40 Compatible with AeroDyn v13.0.
Polar "T1_Re0.500_M0.00_N9.0 360 M" on Foil "T1_Re0.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.36          Angle of attack for zero Cn for linear Cn curve (deg)
6.73056        Cn slope for zero lift for linear Cn curve (1/rad)
1.1256         Cn at stall value for positive angle of attack for linear Cn curve
-0.9204        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0125         Minimum CD value
   -180.00   -0.0379    0.0060
   -179.00    0.0132    0.0065
   -178.00    0.0555    0.0079
   -177.00    0.0914    0.0104
   -176.00    0.1231    0.0138
   -175.00    0.1520    0.0181
   -174.00    0.1791    0.0234
   -173.00    0.2051    0.0297
   -172.00    0.2302    0.0369
   -171.00    0.2548    0.0450
   -170.00    0.2788    0.0540
   -169.00    0.3024    0.0640
   -168.00    0.3255    0.0748
   -167.00    0.3482    0.0866
   -166.00    0.3704    0.0992
   -165.00    0.3920    0.1126
   -164.00    0.4131    0.1269
   -163.00    0.4335    0.1420
   -162.00    0.4533    0.1579
   -161.00    0.4725    0.1746
   -160.00    0.4909    0.1920
   -159.00    0.5085    0.2102
   -158.00    0.5254    0.2291
   -157.00    0.5415    0.2486
   -156.00    0.5567    0.2689
   -155.00    0.5711    0.2898
   -154.00    0.5847    0.3113
   -153.00    0.5973    0.3334
   -152.00    0.6091    0.3560
   -151.00    0.6199    0.3792
   -150.00    0.6298    0.4029
   -149.00    0.6388    0.4271
   -148.00    0.6468    0.4517
   -147.00    0.6539    0.4767
   -146.00    0.6601    0.5021
   -145.00    0.6653    0.5279
   -144.00    0.6696    0.5540
   -143.00    0.6729    0.5804
   -142.00    0.6753    0.6070
   -141.00    0.6767    0.6339
   -140.00    0.6772    0.6610
   -139.00    0.6768    0.6882
   -138.00    0.6755    0.7156
   -137.00    0.6733    0.7430
   -136.00    0.6701    0.7706
   -135.00    0.6661    0.7981
   -134.00    0.6613    0.8257
   -133.00    0.6556    0.8532
   -132.00    0.6490    0.8806
   -131.00    0.6416    0.9079
   -130.00    0.6334    0.9351
   -129.00    0.6245    0.9621
   -128.00    0.6148    0.9889
   -127.00    0.6043    1.0155
   -126.00    0.5931    1.0418
   -125.00    0.5812    1.0678
   -124.00    0.5686    1.0935
   -123.00    0.5553    1.1188
   -122.00    0.5414    1.1437
   -121.00    0.5269    1.1682
   -120.00    0.5099    1.1922
   -119.00    0.4943    1.2158
   -118.00    0.4781    1.2388
   -117.00    0.4614    1.2613
   -116.00    0.4442    1.2833
   -115.00    0.4265    1.3046
   -114.00    0.4084    1.3254
   -113.00    0.3898    1.3454
   -112.00    0.3709    1.3649
   -111.00    0.3515    1.3836
   -110.00    0.3318    1.4016
   -109.00    0.3118    1.4189
   -108.00    0.2915    1.4354
   -107.00    0.2709    1.4511
   -106.00    0.2501    1.4661
   -105.00    0.2290    1.4802
   -104.00    0.2077    1.4935
   -103.00    0.1863    1.5060
   -102.00    0.1647    1.5176
   -101.00    0.1429    1.5283
   -100.00    0.1211    1.5381
    -99.00    0.0992    1.5470
    -98.00    0.0772    1.5551
    -97.00    0.0552    1.5621
    -96.00    0.0331    1.5683
    -95.00    0.0111    1.5736
    -94.00   -0.0108    1.5778
    -93.00   -0.0328    1.5812
    -92.00   -0.0546    1.5836
    -91.00   -0.0763    1.5850
    -90.00   -0.0979    1.5855
    -89.00   -0.1194    1.5850
    -88.00   -0.1407    1.5836
    -87.00   -0.1618    1.5812
    -86.00   -0.1827    1.5778
    -85.00   -0.2034    1.5735
    -84.00   -0.2238    1.5683
    -83.00   -0.2440    1.5621
    -82.00   -0.2639    1.5550
    -81.00   -0.2835    1.5470
    -80.00   -0.3027    1.5381
    -79.00   -0.3216    1.5282
    -78.00   -0.3402    1.5175
    -77.00   -0.3584    1.5059
    -76.00   -0.3762    1.4935
    -75.00   -0.3935    1.4802
    -74.00   -0.4105    1.4660
    -73.00   -0.4270    1.4511
    -72.00   -0.4431    1.4353
    -71.00   -0.4587    1.4188
    -70.00   -0.4738    1.4015
    -69.00   -0.4884    1.3835
