R(m)	| c(m)	| Twist (deg) | Airfoil
0.0015	0.00296     13 			circ        
0.0074	0.0030      13   		circ
0.0148	0.0096      13  		N63228 
0.0296	0.0086      8.18  		N63228
0.0444	0.0076      5.56  		N63228
0.0593	0.0065      3.69  		N63222
0.0741	0.0055      1.89   		N63218
0.0889	0.0044      0.68 		N63214
0.1000	0.0037      0   		N63214
