R(m)	| c(m)	| Twist (deg) 	| Airfoil
0.0015	0.00888	13	circ_sim_notrip_Cd1p2 
0.0074	0.009	13	circ_sim_notrip_Cd1p2
0.0148	0.0288	13	N63228_sim_trip-t0p1-b0p1
0.0296	0.0258	8.18	N63228_sim_trip-t0p1-b0p1
0.0444	0.0228	5.56	N63228_sim_trip-t0p1-b0p1
0.0593	0.0195	3.69	N63222_sim_trip-t0p1-b0p1
0.0741	0.0165	1.89	N63218_sim_trip-t0p1-b0p1
0.0889	0.0132	0.68	N63214_sim_trip-t0p1-b0p1
0.1	0.0111	0	N63214_sim_trip-t0p1-b0p1
