AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:42:39 Compatible with AeroDyn v13.0.
Polar "T1_Re3.500_M0.00_N9.0 360 M" on Foil "T1_Re3.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.43          Angle of attack for zero Cn for linear Cn curve (deg)
6.71953        Cn slope for zero lift for linear Cn curve (1/rad)
0.9683         Cn at stall value for positive angle of attack for linear Cn curve
-0.9487        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0092         Minimum CD value
   -180.00   -0.0417    0.0060
   -179.00    0.0518    0.0065
   -178.00    0.1454    0.0080
   -177.00    0.2389    0.0106
   -176.00    0.3325    0.0141
   -175.00    0.4260    0.0187
   -174.00    0.5196    0.0242
   -173.00    0.6129    0.0308
   -172.00    0.7002    0.0383
   -171.00    0.7569    0.0468
   -170.00    0.7513    0.0562
   -169.00    0.6864    0.0666
   -168.00    0.6052    0.0780
   -167.00    0.5419    0.0903
   -166.00    0.5040    0.1034
   -165.00    0.4861    0.1175
   -164.00    0.4817    0.1324
   -163.00    0.4856    0.1482
   -162.00    0.4945    0.1649
   -161.00    0.5065    0.1823
   -160.00    0.5201    0.2005
   -159.00    0.5346    0.2196
   -158.00    0.5494    0.2393
   -157.00    0.5641    0.2598
   -156.00    0.5785    0.2810
   -155.00    0.5924    0.3028
   -154.00    0.6057    0.3253
   -153.00    0.6183    0.3484
   -152.00    0.6301    0.3721
   -151.00    0.6410    0.3964
   -150.00    0.6511    0.4211
   -149.00    0.6603    0.4464
   -148.00    0.6685    0.4722
   -147.00    0.6758    0.4984
   -146.00    0.6821    0.5250
   -145.00    0.6875    0.5519
   -144.00    0.6918    0.5792
   -143.00    0.6953    0.6068
   -142.00    0.6977    0.6347
   -141.00    0.6992    0.6628
   -140.00    0.6997    0.6912
   -139.00    0.6993    0.7196
   -138.00    0.6979    0.7483
   -137.00    0.6956    0.7770
   -136.00    0.6923    0.8058
   -135.00    0.6882    0.8346
   -134.00    0.6831    0.8634
   -133.00    0.6772    0.8922
   -132.00    0.6704    0.9209
   -131.00    0.6627    0.9495
   -130.00    0.6543    0.9779
   -129.00    0.6450    1.0062
   -128.00    0.6349    1.0343
   -127.00    0.6240    1.0621
   -126.00    0.6124    1.0896
   -125.00    0.6000    1.1168
   -124.00    0.5870    1.1437
   -123.00    0.5732    1.1701
   -122.00    0.5589    1.1962
   -121.00    0.5438    1.2218
   -120.00    0.5282    1.2470
   -119.00    0.5119    1.2716
   -118.00    0.4951    1.2958
   -117.00    0.4778    1.3193
   -116.00    0.4599    1.3423
   -115.00    0.4416    1.3646
   -114.00    0.4228    1.3863
   -113.00    0.4036    1.4073
   -112.00    0.3839    1.4276
   -111.00    0.3639    1.4472
   -110.00    0.3435    1.4661
   -109.00    0.3228    1.4841
   -108.00    0.3017    1.5014
   -107.00    0.2804    1.5179
   -106.00    0.2589    1.5335
   -105.00    0.2371    1.5483
   -104.00    0.2150    1.5622
   -103.00    0.1927    1.5753
   -102.00    0.1703    1.5874
   -101.00    0.1479    1.5986
   -100.00    0.1253    1.6089
    -99.00    0.1026    1.6183
    -98.00    0.0799    1.6266
    -97.00    0.0572    1.6341
    -96.00    0.0345    1.6405
    -95.00    0.0117    1.6460
    -94.00   -0.0110    1.6505
    -93.00   -0.0336    1.6540
    -92.00   -0.0561    1.6565
    -91.00   -0.0786    1.6580
    -90.00   -0.1009    1.6585
    -89.00   -0.1231    1.6580
    -88.00   -0.1451    1.6565
    -87.00   -0.1669    1.6540
    -86.00   -0.1885    1.6505
    -85.00   -0.2098    1.6460
    -84.00   -0.2309    1.6405
    -83.00   -0.2517    1.6341
    -82.00   -0.2723    1.6266
    -81.00   -0.2925    1.6182
    -80.00   -0.3124    1.6089
    -79.00   -0.3319    1.5986
    -78.00   -0.3511    1.5874
    -77.00   -0.3699    1.5753
    -76.00   -0.3883    1.5622
    -75.00   -0.4063    1.5483
    -74.00   -0.4238    1.5335
    -73.00   -0.4409    1.5179
    -72.00   -0.4575    1.5014
    -71.00   -0.4737    1.4841
    -70.00   -0.4893    1.4660
    -69.00   -0.5044    1.4472
    -68.00   -0.5190    1.4276
    -67.00   -0.5331    1.4073
    -66.00   -0.5466    1.3863
    -65.00   -0.5595    1.3646
    -64.00   -0.5718    1.3422
    -63.00   -0.5836    1.3193
    -62.00   -0.5947    1.2957
    -61.00   -0.6053    1.2716
    -60.00   -0.6152    1.2470
    -59.00   -0.6244    1.2218
    -58.00   -0.6330    1.1962
    -57.00   -0.6410    1.1701
    -56.00   -0.6483    1.1436
    -55.00   -0.6549    1.1168
    -54.00   -0.6608    1.0896
    -53.00   -0.6660    1.0620
    -52.00   -0.6705    1.0342
    -51.00   -0.6743    1.0062
    -50.00   -0.6774    0.9779
    -49.00   -0.6798    0.9494
    -48.00   -0.6815    0.9208
    -47.00   -0.6824    0.8921
    -46.00   -0.6826    0.8634
    -45.00   -0.6820    0.8345
    -44.00   -0.6808    0.8057
    -43.00   -0.6787    0.7769
    -42.00   -0.6760    0.7482
    -41.00   -0.6724    0.7195
    -40.00   -0.6682    0.6910
    -39.00   -0.6632    0.6627
    -38.00   -0.6575    0.6346
    -37.00   -0.6510    0.6067
    -36.00   -0.6438    0.5791
    -35.00   -0.6359    0.5517
    -34.00   -0.6272    0.5248
    -33.00   -0.6179    0.4981
    -32.00   -0.6078    0.4719
    -31.00   -0.5970    0.4462
    -30.00   -0.5856    0.4208
    -29.00   -0.5735    0.3960
    -28.00   -0.5608    0.3717
    -27.00   -0.5475    0.3480
    -26.00   -0.5337    0.3248
    -25.00   -0.5193    0.3022
    -24.00   -0.5045    0.2802
    -23.00   -0.4894    0.2589
    -22.00   -0.4742    0.2383
    -21.00   -0.4590    0.2183
    -20.00   -0.4442    0.1989
    -19.00   -0.4305    0.1802
    -18.00   -0.4188    0.1621
    -17.00   -0.4110    0.1445
    -16.00   -0.4106    0.1272
    -15.00   -0.4242    0.1097
    -14.00   -0.4650    0.0914
    -13.00   -0.5564    0.0710
    -12.00   -0.7207    0.0481
    -11.00   -0.9067    0.0270
    -10.00   -0.9611    0.0129
     -9.50   -0.9091    0.0126
     -8.50   -0.8050    0.0117
     -8.00   -0.7522    0.0113
     -7.50   -0.6973    0.0110
     -7.00   -0.6431    0.0105
     -6.50   -0.5893    0.0100
     -6.00   -0.5334    0.0096
     -5.50   -0.4755    0.0095
     -5.00   -0.4174    0.0095
     -4.50   -0.3592    0.0094
     -4.00   -0.3008    0.0093
     -3.50   -0.2423    0.0093
     -3.00   -0.1838    0.0092
     -2.50   -0.1252    0.0092
     -2.00   -0.0665    0.0092
     -1.50   -0.0078    0.0092
     -1.00    0.0508    0.0092
     -0.50    0.1095    0.0092
      0.00    0.1681    0.0092
      0.50    0.2267    0.0093
      1.00    0.2853    0.0093
      1.50    0.3437    0.0094
      2.00    0.4020    0.0094
      2.50    0.4602    0.0095
      3.00    0.5183    0.0096
      3.50    0.5762    0.0097
      4.00    0.6339    0.0098
      4.50    0.6913    0.0099
      5.00    0.7486    0.0100
      5.50    0.8055    0.0102
      6.00    0.8621    0.0103
      6.50    0.9184    0.0105
      7.00    0.9742    0.0107
      7.50    1.0243    0.0113
      8.00    1.0728    0.0119
      8.50    1.1191    0.0126
      9.00    1.1664    0.0132
      9.50    1.2102    0.0138
     10.00    1.2516    0.0145
     10.50    1.2853    0.0150
     11.00    1.3198    0.0158
     11.50    1.3531    0.0167
     12.00    1.3833    0.0179
     12.50    1.4065    0.0197
     14.00    1.4765    0.0258
     14.50    1.5012    0.0280
     15.00    1.5220    0.0305
     15.50    1.5408    0.0333
     16.00    1.5582    0.0364
     16.50    1.5754    0.0397
     17.00    1.5916    0.0431
     17.50    1.6036    0.0473
     18.00    1.6144    0.0517
     18.50    1.6254    0.0560
     19.00    1.6273    0.0617
     19.50    1.6253    0.0681
     20.00    1.5628    0.1071
     21.00    1.4939    0.1308
     22.00    1.4255    0.1562
     23.00    1.3612    0.1827
     24.00    1.3032    0.2101
     25.00    1.2525    0.2381
     26.00    1.2092    0.2665
     27.00    1.1730    0.2951
     28.00    1.1433    0.3239
     29.00    1.1193    0.3529
     30.00    1.1003    0.3820
     31.00    1.0855    0.4113
     32.00    1.0742    0.4407
     33.00    1.0658    0.4702
     34.00    1.0598    0.4999
     35.00    1.0557    0.5297
     36.00    1.0531    0.5597
     37.00    1.0516    0.5897
     38.00    1.0509    0.6199
     39.00    1.0509    0.6501
     40.00    1.0512    0.6804
     41.00    1.0516    0.7108
     42.00    1.0520    0.7412
     43.00    1.0524    0.7716
     44.00    1.0524    0.8020
     45.00    1.0520    0.8323
     46.00    1.0512    0.8626
     47.00    1.0499    0.8928
     48.00    1.0479    0.9229
     49.00    1.0452    0.9528
     50.00    1.0418    0.9825
     51.00    1.0376    1.0119
     52.00    1.0325    1.0412
     53.00    1.0266    1.0701
     54.00    1.0198    1.0988
     55.00    1.0121    1.1271
     56.00    1.0035    1.1550
     57.00    0.9939    1.1825
     58.00    0.9833    1.2096
     59.00    0.9717    1.2362
     60.00    0.9591    1.2623
     61.00    0.9456    1.2878
     62.00    0.9310    1.3129
     63.00    0.9155    1.3373
     64.00    0.8989    1.3611
     65.00    0.8814    1.3842
     66.00    0.8628    1.4067
     67.00    0.8433    1.4285
     68.00    0.8228    1.4496
     69.00    0.8014    1.4699
     70.00    0.7791    1.4894
     71.00    0.7558    1.5082
     72.00    0.7316    1.5261
     73.00    0.7066    1.5432
     74.00    0.6807    1.5594
     75.00    0.6540    1.5747
     76.00    0.6264    1.5892
     77.00    0.5981    1.6027
     78.00    0.5691    1.6153
     79.00    0.5393    1.6269
     80.00    0.5089    1.6376
     81.00    0.4778    1.6473
     82.00    0.4461    1.6560
     83.00    0.4138    1.6638
     84.00    0.3810    1.6705
     85.00    0.3477    1.6762
     86.00    0.3139    1.6809
     87.00    0.2798    1.6846
     88.00    0.2452    1.6872
     89.00    0.2103    1.6889
     90.00    0.1752    1.6894
     91.00    0.1397    1.6890
     92.00    0.1041    1.6875
     93.00    0.0684    1.6850
     94.00    0.0325    1.6814
     95.00   -0.0034    1.6768
     96.00   -0.0393    1.6713
     97.00   -0.0752    1.6647
     98.00   -0.1110    1.6571
     99.00   -0.1467    1.6485
    100.00   -0.1822    1.6389
    101.00   -0.2174    1.6283
    102.00   -0.2524    1.6168
    103.00   -0.2870    1.6044
    104.00   -0.3268    1.5910
    105.00   -0.3605    1.5767
    106.00   -0.3937    1.5616
    107.00   -0.4264    1.5455
    108.00   -0.4585    1.5286
    109.00   -0.4900    1.5109
    110.00   -0.5209    1.4923
    111.00   -0.5511    1.4730
    112.00   -0.5805    1.4529
    113.00   -0.6091    1.4320
    114.00   -0.6369    1.4105
    115.00   -0.6639    1.3882
    116.00   -0.6899    1.3653
    117.00   -0.7150    1.3418
    118.00   -0.7391    1.3176
    119.00   -0.7622    1.2929
    120.00   -0.7843    1.2676
    121.00   -0.8052    1.2419
    122.00   -0.8251    1.2156
    123.00   -0.8438    1.1889
    124.00   -0.8614    1.1618
    125.00   -0.8777    1.1343
    126.00   -0.8929    1.1065
    127.00   -0.9068    1.0783
    128.00   -0.9194    1.0498
    129.00   -0.9308    1.0212
    130.00   -0.9409    0.9923
    131.00   -0.9496    0.9632
    132.00   -0.9571    0.9340
    133.00   -0.9632    0.9047
    134.00   -0.9681    0.8753
    135.00   -0.9716    0.8459
    136.00   -0.9737    0.8165
    137.00   -0.9745    0.7871
    138.00   -0.9740    0.7578
    139.00   -0.9722    0.7287
    140.00   -0.9691    0.6996
    141.00   -0.9646    0.6708
    142.00   -0.9589    0.6422
    143.00   -0.9519    0.6138
    144.00   -0.9436    0.5857
    145.00   -0.9341    0.5579
    146.00   -0.9234    0.5305
    147.00   -0.9115    0.5035
    148.00   -0.8985    0.4769
    149.00   -0.8844    0.4508
    150.00   -0.8692    0.4251
    151.00   -0.8530    0.4000
    152.00   -0.8358    0.3754
    153.00   -0.8178    0.3514
    154.00   -0.7990    0.3280
    155.00   -0.7795    0.3052
    156.00   -0.7594    0.2831
    157.00   -0.7389    0.2617
    158.00   -0.7184    0.2410
    159.00   -0.6979    0.2210
    160.00   -0.6782    0.2018
    161.00   -0.6597    0.1834
    162.00   -0.6434    0.1658
    163.00   -0.6310    0.1490
    164.00   -0.6246    0.1331
    165.00   -0.6278    0.1181
    166.00   -0.6456    0.1039
    167.00   -0.6839    0.0906
    168.00   -0.7446    0.0783
    169.00   -0.8150    0.0669
    170.00   -0.8606    0.0564
    171.00   -0.8489    0.0469
    172.00   -0.7849    0.0384
    173.00   -0.6964    0.0308
    174.00   -0.6030    0.0243
    175.00   -0.5095    0.0187
    176.00   -0.4159    0.0141
    177.00   -0.3224    0.0106
    178.00   -0.2288    0.0080
    179.00   -0.1353    0.0065
    180.00   -0.0417    0.0060
    180.00   -0.0417    0.0060
