AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:15:50 Compatible with AeroDyn v13.0.
Polar "T1_Re0.500_M0.00_N9.0 360 M" on Foil "T1_Re0.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.00          Angle of attack for zero Cn for linear Cn curve (deg)
5.86590        Cn slope for zero lift for linear Cn curve (1/rad)
1.0086         Cn at stall value for positive angle of attack for linear Cn curve
-1.1037        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0098         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0703    0.0065
   -178.00    0.1288    0.0080
   -177.00    0.1750    0.0105
   -176.00    0.2108    0.0140
   -175.00    0.2394    0.0185
   -174.00    0.2638    0.0239
   -173.00    0.2862    0.0303
   -172.00    0.3079    0.0378
   -171.00    0.3297    0.0461
   -170.00    0.3517    0.0554
   -169.00    0.3741    0.0657
   -168.00    0.3969    0.0769
   -167.00    0.4198    0.0890
   -166.00    0.4428    0.1019
   -165.00    0.4658    0.1158
   -164.00    0.4886    0.1306
   -163.00    0.5112    0.1461
   -162.00    0.5333    0.1625
   -161.00    0.5551    0.1798
   -160.00    0.5763    0.1978
   -159.00    0.5969    0.2165
   -158.00    0.6168    0.2361
   -157.00    0.6361    0.2563
   -156.00    0.6545    0.2772
   -155.00    0.6722    0.2988
   -154.00    0.6891    0.3210
   -153.00    0.7050    0.3439
   -152.00    0.7201    0.3673
   -151.00    0.7342    0.3913
   -150.00    0.7473    0.4159
   -149.00    0.7594    0.4409
   -148.00    0.7706    0.4664
   -147.00    0.7807    0.4923
   -146.00    0.7897    0.5186
   -145.00    0.7977    0.5453
   -144.00    0.8046    0.5724
   -143.00    0.8104    0.5998
   -142.00    0.8152    0.6274
   -141.00    0.8188    0.6553
   -140.00    0.8213    0.6834
   -139.00    0.8227    0.7116
   -138.00    0.8230    0.7400
   -137.00    0.8222    0.7685
   -136.00    0.8203    0.7971
   -135.00    0.8173    0.8257
   -134.00    0.8132    0.8543
   -133.00    0.8080    0.8829
   -132.00    0.8017    0.9114
   -131.00    0.7943    0.9398
   -130.00    0.7859    0.9680
   -129.00    0.7765    0.9961
   -128.00    0.7660    1.0240
   -127.00    0.7545    1.0516
   -126.00    0.7421    1.0790
   -125.00    0.7286    1.1061
   -124.00    0.7143    1.1328
   -123.00    0.6989    1.1591
   -122.00    0.6827    1.1850
   -121.00    0.6656    1.2105
   -120.00    0.6477    1.2356
   -119.00    0.6289    1.2601
   -118.00    0.6093    1.2841
   -117.00    0.5889    1.3075
   -116.00    0.5678    1.3304
   -115.00    0.5448    1.3526
   -114.00    0.5223    1.3742
   -113.00    0.4992    1.3951
   -112.00    0.4755    1.4153
   -111.00    0.4512    1.4349
   -110.00    0.4263    1.4536
   -109.00    0.4010    1.4716
   -108.00    0.3751    1.4889
   -107.00    0.3488    1.5053
   -106.00    0.3221    1.5208
   -105.00    0.2950    1.5356
   -104.00    0.2676    1.5494
   -103.00    0.2399    1.5624
   -102.00    0.2119    1.5745
   -101.00    0.1837    1.5857
   -100.00    0.1553    1.5960
    -99.00    0.1267    1.6053
    -98.00    0.0980    1.6136
    -97.00    0.0692    1.6210
    -96.00    0.0404    1.6275
    -95.00    0.0116    1.6329
    -94.00   -0.0172    1.6374
    -93.00   -0.0460    1.6409
    -92.00   -0.0746    1.6434
    -91.00   -0.1031    1.6449
    -90.00   -0.1315    1.6454
    -89.00   -0.1596    1.6449
    -88.00   -0.1875    1.6434
    -87.00   -0.2152    1.6409
    -86.00   -0.2425    1.6374
    -85.00   -0.2696    1.6329
    -84.00   -0.2962    1.6275
    -83.00   -0.3225    1.6210
    -82.00   -0.3483    1.6136
    -81.00   -0.3737    1.6052
    -80.00   -0.3987    1.5959
    -79.00   -0.4231    1.5857
    -78.00   -0.4470    1.5745
    -77.00   -0.4703    1.5624
    -76.00   -0.4930    1.5494
    -75.00   -0.5152    1.5355
    -74.00   -0.5367    1.5208
    -73.00   -0.5575    1.5052
    -72.00   -0.5777    1.4888
    -71.00   -0.5972    1.4716
    -70.00   -0.6159    1.4536
    -69.00   -0.6339    1.4348
    -68.00   -0.6512    1.4153
    -67.00   -0.6677    1.3950
    -66.00   -0.6835    1.3741
    -65.00   -0.6984    1.3525
    -64.00   -0.7125    1.3303
    -63.00   -0.7258    1.3074
    -62.00   -0.7383    1.2840
    -61.00   -0.7499    1.2600
    -60.00   -0.7607    1.2354
    -59.00   -0.7706    1.2104
    -58.00   -0.7796    1.1849
    -57.00   -0.7877    1.1589
    -56.00   -0.7950    1.1326
    -55.00   -0.8014    1.1059
    -54.00   -0.8069    1.0788
    -53.00   -0.8115    1.0514
    -52.00   -0.8152    1.0238
    -51.00   -0.8180    0.9959
    -50.00   -0.8199    0.9678
    -49.00   -0.8210    0.9395
    -48.00   -0.8211    0.9111
    -47.00   -0.8204    0.8826
    -46.00   -0.8188    0.8540
    -45.00   -0.8163    0.8253
    -44.00   -0.8130    0.7967
    -43.00   -0.8088    0.7681
    -42.00   -0.8037    0.7396
    -41.00   -0.7979    0.7111
    -40.00   -0.7912    0.6828
