AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:15:50 Compatible with AeroDyn v13.0.
Polar "T1_Re1.900_M0.00_N9.0 360 M" on Foil "T1_Re1.900_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.30604        Cn slope for zero lift for linear Cn curve (1/rad)
-0.9210        Cn at stall value for positive angle of attack for linear Cn curve
-0.9627        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0072         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0880    0.0065
   -178.00    0.1761    0.0080
   -177.00    0.2641    0.0105
   -176.00    0.3522    0.0140
   -175.00    0.4398    0.0185
   -174.00    0.5223    0.0239
   -173.00    0.5867    0.0303
   -172.00    0.6161    0.0378
   -171.00    0.6065    0.0461
   -170.00    0.5737    0.0554
   -169.00    0.5393    0.0657
   -168.00    0.5149    0.0769
   -167.00    0.5029    0.0890
   -166.00    0.5010    0.1019
   -165.00    0.5066    0.1158
   -164.00    0.5173    0.1306
   -163.00    0.5313    0.1461
   -162.00    0.5475    0.1625
   -161.00    0.5649    0.1798
   -160.00    0.5829    0.1978
   -159.00    0.6013    0.2165
   -158.00    0.6196    0.2361
   -157.00    0.6376    0.2563
   -156.00    0.6551    0.2772
   -155.00    0.6721    0.2988
   -154.00    0.6885    0.3210
   -153.00    0.7041    0.3439
   -152.00    0.7189    0.3673
   -151.00    0.7328    0.3913
   -150.00    0.7458    0.4159
   -149.00    0.7578    0.4409
   -148.00    0.7689    0.4664
   -147.00    0.7789    0.4923
   -146.00    0.7880    0.5186
   -145.00    0.7960    0.5453
   -144.00    0.8029    0.5724
   -143.00    0.8087    0.5998
   -142.00    0.8135    0.6274
   -141.00    0.8171    0.6553
   -140.00    0.8197    0.6834
   -139.00    0.8211    0.7116
   -138.00    0.8215    0.7400
   -137.00    0.8207    0.7685
   -136.00    0.8188    0.7971
   -135.00    0.8158    0.8257
   -134.00    0.8118    0.8543
   -133.00    0.8066    0.8829
   -132.00    0.8003    0.9114
   -131.00    0.7930    0.9398
   -130.00    0.7847    0.9680
   -129.00    0.7753    0.9961
   -128.00    0.7648    1.0240
   -127.00    0.7534    1.0516
   -126.00    0.7409    1.0790
   -125.00    0.7275    1.1061
   -124.00    0.7132    1.1328
   -123.00    0.6979    1.1591
   -122.00    0.6817    1.1850
   -121.00    0.6646    1.2105
   -120.00    0.6467    1.2356
   -119.00    0.6280    1.2601
   -118.00    0.6084    1.2841
   -117.00    0.5881    1.3075
   -116.00    0.5670    1.3304
   -115.00    0.5452    1.3526
   -114.00    0.5227    1.3742
   -113.00    0.4996    1.3951
   -112.00    0.4759    1.4153
   -111.00    0.4516    1.4349
   -110.00    0.4267    1.4536
   -109.00    0.4013    1.4716
   -108.00    0.3755    1.4889
   -107.00    0.3492    1.5053
   -106.00    0.3221    1.5208
   -105.00    0.2950    1.5356
   -104.00    0.2676    1.5495
   -103.00    0.2398    1.5624
   -102.00    0.2119    1.5745
   -101.00    0.1836    1.5857
   -100.00    0.1552    1.5960
    -99.00    0.1267    1.6053
    -98.00    0.0980    1.6136
    -97.00    0.0692    1.6210
    -96.00    0.0404    1.6275
    -95.00    0.0116    1.6329
    -94.00   -0.0172    1.6374
    -93.00   -0.0459    1.6409
    -92.00   -0.0746    1.6434
    -91.00   -0.1031    1.6449
    -90.00   -0.1314    1.6454
    -89.00   -0.1596    1.6449
    -88.00   -0.1875    1.6434
    -87.00   -0.2151    1.6409
    -86.00   -0.2425    1.6374
    -85.00   -0.2695    1.6329
    -84.00   -0.2962    1.6275
    -83.00   -0.3224    1.6210
    -82.00   -0.3483    1.6136
    -81.00   -0.3737    1.6053
    -80.00   -0.3986    1.5959
    -79.00   -0.4230    1.5857
    -78.00   -0.4469    1.5745
    -77.00   -0.4702    1.5624
    -76.00   -0.4929    1.5494
    -75.00   -0.5150    1.5355
    -74.00   -0.5365    1.5208
    -73.00   -0.5574    1.5052
    -72.00   -0.5775    1.4888
    -71.00   -0.5970    1.4716
    -70.00   -0.6158    1.4536
