AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:37:46 Compatible with AeroDyn v13.0.
Polar "T1_Re3.500_M0.00_N9.0 360 M" on Foil "T1_Re3.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.47          Angle of attack for zero Cn for linear Cn curve (deg)
6.64985        Cn slope for zero lift for linear Cn curve (1/rad)
1.1595         Cn at stall value for positive angle of attack for linear Cn curve
-0.8954        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0084         Minimum CD value
   -180.00   -0.0436    0.0060
   -179.00    0.0490    0.0065
   -178.00    0.1416    0.0081
   -177.00    0.2343    0.0106
   -176.00    0.3269    0.0143
   -175.00    0.4196    0.0189
   -174.00    0.5122    0.0245
   -173.00    0.6048    0.0312
   -172.00    0.6922    0.0388
   -171.00    0.7519    0.0475
   -170.00    0.7520    0.0571
   -169.00    0.6916    0.0677
   -168.00    0.6120    0.0792
   -167.00    0.5486    0.0917
   -166.00    0.5103    0.1051
   -165.00    0.4923    0.1195
   -164.00    0.4879    0.1347
   -163.00    0.4919    0.1507
   -162.00    0.5011    0.1677
   -161.00    0.5133    0.1854
   -160.00    0.5272    0.2040
   -159.00    0.5420    0.2233
   -158.00    0.5571    0.2434
   -157.00    0.5721    0.2642
   -156.00    0.5867    0.2858
   -155.00    0.6009    0.3080
   -154.00    0.6144    0.3309
   -153.00    0.6272    0.3544
   -152.00    0.6391    0.3785
   -151.00    0.6502    0.4032
   -150.00    0.6605    0.4284
   -149.00    0.6697    0.4542
   -148.00    0.6781    0.4804
   -147.00    0.6855    0.5070
   -146.00    0.6919    0.5341
   -145.00    0.6973    0.5615
   -144.00    0.7018    0.5893
   -143.00    0.7052    0.6174
   -142.00    0.7077    0.6458
   -141.00    0.7092    0.6744
   -140.00    0.7097    0.7032
   -139.00    0.7092    0.7322
   -138.00    0.7078    0.7613
   -137.00    0.7054    0.7906
   -136.00    0.7021    0.8199
   -135.00    0.6979    0.8492
   -134.00    0.6927    0.8785
   -133.00    0.6867    0.9078
   -132.00    0.6798    0.9370
   -131.00    0.6720    0.9661
   -130.00    0.6633    0.9951
   -129.00    0.6539    1.0238
   -128.00    0.6436    1.0524
   -127.00    0.6326    1.0807
   -126.00    0.6208    1.1087
   -125.00    0.6083    1.1364
   -124.00    0.5950    1.1637
   -123.00    0.5811    1.1907
   -122.00    0.5665    1.2172
   -121.00    0.5512    1.2433
   -120.00    0.5353    1.2689
