AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:35:23 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.54          Angle of attack for zero Cn for linear Cn curve (deg)
6.64628        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8286        Cn at stall value for positive angle of attack for linear Cn curve
-0.9220        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0059         Minimum CD value
   -180.00   -0.0455    0.0060
   -179.00    0.0469    0.0065
   -178.00    0.1346    0.0081
   -177.00    0.2099    0.0106
   -176.00    0.2650    0.0143
   -175.00    0.2977    0.0189
   -174.00    0.3134    0.0245
   -173.00    0.3206    0.0312
   -172.00    0.3259    0.0388
   -171.00    0.3329    0.0475
   -170.00    0.3427    0.0571
   -169.00    0.3552    0.0677
   -168.00    0.3701    0.0792
   -167.00    0.3866    0.0917
   -166.00    0.4044    0.1051
   -165.00    0.4228    0.1195
   -164.00    0.4417    0.1347
   -163.00    0.4606    0.1507
   -162.00    0.4794    0.1677
   -161.00    0.4979    0.1854
   -160.00    0.5160    0.2040
   -159.00    0.5335    0.2233
   -158.00    0.5504    0.2434
   -157.00    0.5666    0.2642
   -156.00    0.5821    0.2858
   -155.00    0.5967    0.3080
   -154.00    0.6105    0.3309
   -153.00    0.6234    0.3544
   -152.00    0.6354    0.3785
   -151.00    0.6465    0.4032
   -150.00    0.6566    0.4284
   -149.00    0.6658    0.4542
   -148.00    0.6740    0.4804
   -147.00    0.6812    0.5070
   -146.00    0.6874    0.5341
   -145.00    0.6926    0.5615
   -144.00    0.6969    0.5893
   -143.00    0.7001    0.6174
   -142.00    0.7024    0.6458
   -141.00    0.7037    0.6744
   -140.00    0.7041    0.7032
   -139.00    0.7035    0.7322
   -138.00    0.7019    0.7613
   -137.00    0.6994    0.7906
   -136.00    0.6959    0.8199
   -135.00    0.6916    0.8492
   -134.00    0.6863    0.8785
   -133.00    0.6802    0.9078
   -132.00    0.6732    0.9370
   -131.00    0.6653    0.9661
   -130.00    0.6567    0.9951
   -129.00    0.6472    1.0238
   -128.00    0.6369    1.0524
   -127.00    0.6259    1.0807
   -126.00    0.6141    1.1087
   -125.00    0.6016    1.1364
   -124.00    0.5884    1.1637
   -123.00    0.5745    1.1907
   -122.00    0.5600    1.2172
   -121.00    0.5448    1.2433
   -120.00    0.5290    1.2689
   -119.00    0.5127    1.2940
   -118.00    0.4958    1.3185
   -117.00    0.4783    1.3425
   -116.00    0.4604    1.3658
   -115.00    0.4420    1.3886
   -114.00    0.4231    1.4106
   -113.00    0.4038    1.4320
   -112.00    0.3841    1.4527
   -111.00    0.3633    1.4726
   -110.00    0.3429    1.4918
   -109.00    0.3221    1.5102
   -108.00    0.3011    1.5278
   -107.00    0.2798    1.5446
   -106.00    0.2582    1.5605
   -105.00    0.2365    1.5755
   -104.00    0.2145    1.5897
   -103.00    0.1923    1.6030
   -102.00    0.1700    1.6153
   -101.00    0.1476    1.6267
   -100.00    0.1251    1.6372
    -99.00    0.1025    1.6467
    -98.00    0.0798    1.6553
    -97.00    0.0571    1.6628
    -96.00    0.0344    1.6694
    -95.00    0.0118    1.6750
