AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 14:44:13 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.31          Angle of attack for zero Cn for linear Cn curve (deg)
6.47779        Cn slope for zero lift for linear Cn curve (1/rad)
0.9107         Cn at stall value for positive angle of attack for linear Cn curve
-0.8025        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0130         Minimum CD value
   -180.00   -0.0375    0.0060
   -179.00    0.0519    0.0065
   -178.00    0.1384    0.0080
   -177.00    0.2156    0.0105
   -176.00    0.2751    0.0140
   -175.00    0.3121    0.0184
   -174.00    0.3295    0.0239
   -173.00    0.3355    0.0303
   -172.00    0.3381    0.0377
   -171.00    0.3420    0.0461
   -170.00    0.3489    0.0553
   -169.00    0.3590    0.0656
   -168.00    0.3719    0.0767
   -167.00    0.3869    0.0888
   -166.00    0.4034    0.1017
   -165.00    0.4208    0.1155
   -164.00    0.4389    0.1302
   -163.00    0.4572    0.1457
   -162.00    0.4755    0.1621
   -161.00    0.4936    0.1792
   -160.00    0.5114    0.1971
   -159.00    0.5287    0.2158
   -158.00    0.5455    0.2352
   -157.00    0.5616    0.2553
   -156.00    0.5770    0.2761
   -155.00    0.5917    0.2976
   -154.00    0.6056    0.3197
   -153.00    0.6186    0.3424
   -152.00    0.6307    0.3657
   -151.00    0.6420    0.3895
   -150.00    0.6523    0.4138
   -149.00    0.6617    0.4387
   -148.00    0.6702    0.4640
   -147.00    0.6777    0.4897
   -146.00    0.6843    0.5158
   -145.00    0.6899    0.5423
   -144.00    0.6945    0.5691
   -143.00    0.6981    0.5962
   -142.00    0.7008    0.6236
   -141.00    0.7025    0.6513
   -140.00    0.7032    0.6791
   -139.00    0.7030    0.7071
   -138.00    0.7018    0.7352
   -137.00    0.6997    0.7634
   -136.00    0.6967    0.7917
   -135.00    0.6927    0.8200
   -134.00    0.6878    0.8483
   -133.00    0.6821    0.8766
   -132.00    0.6755    0.9048
   -131.00    0.6680    0.9329
   -130.00    0.6596    0.9608
   -129.00    0.6505    0.9886
   -128.00    0.6405    1.0161
   -127.00    0.6297    1.0434
   -126.00    0.6182    1.0705
   -125.00    0.6059    1.0972
   -124.00    0.5929    1.1236
   -123.00    0.5792    1.1496
   -122.00    0.5648    1.1752
   -121.00    0.5498    1.2004
   -120.00    0.5341    1.2251
   -119.00    0.5179    1.2493
   -118.00    0.5010    1.2730
   -117.00    0.4836    1.2961
   -116.00    0.4657    1.3187
   -115.00    0.4472    1.3406
   -114.00    0.4283    1.3619
   -113.00    0.4089    1.3825
   -112.00    0.3891    1.4025
   -111.00    0.3681    1.4217
   -110.00    0.3475    1.4403
   -109.00    0.3266    1.4580
   -108.00    0.3054    1.4750
   -107.00    0.2838    1.4912
   -106.00    0.2620    1.5065
   -105.00    0.2400    1.5211
   -104.00    0.2177    1.5347
   -103.00    0.1952    1.5475
   -102.00    0.1726    1.5594
   -101.00    0.1498    1.5705
   -100.00    0.1269    1.5806
    -99.00    0.1039    1.5897
    -98.00    0.0809    1.5980
    -97.00    0.0578    1.6053
    -96.00    0.0347    1.6116
    -95.00    0.0116    1.6170
    -94.00   -0.0115    1.6214
    -93.00   -0.0345    1.6248
    -92.00   -0.0574    1.6273
    -91.00   -0.0802    1.6288
    -90.00   -0.1028    1.6293
    -89.00   -0.1254    1.6288
    -88.00   -0.1477    1.6273
    -87.00   -0.1698    1.6248
    -86.00   -0.1918    1.6214
    -85.00   -0.2135    1.6170
    -84.00   -0.2349    1.6116
    -83.00   -0.2560    1.6053
    -82.00   -0.2769    1.5980
    -81.00   -0.2974    1.5897
    -80.00   -0.3175    1.5805
    -79.00   -0.3374    1.5704
    -78.00   -0.3568    1.5594
    -77.00   -0.3758    1.5475
    -76.00   -0.3944    1.5347
    -75.00   -0.4126    1.5210
    -74.00   -0.4303    1.5065
    -73.00   -0.4476    1.4911
    -72.00   -0.4644    1.4749
    -71.00   -0.4806    1.4579
    -70.00   -0.4964    1.4402
    -69.00   -0.5116    1.4217
    -68.00   -0.5263    1.4024
    -67.00   -0.5404    1.3825
    -66.00   -0.5539    1.3618
    -65.00   -0.5669    1.3405
    -64.00   -0.5793    1.3186
    -63.00   -0.5910    1.2960
    -62.00   -0.6021    1.2729
    -61.00   -0.6126    1.2492
    -60.00   -0.6225    1.2250
    -59.00   -0.6317    1.2002
    -58.00   -0.6402    1.1751
    -57.00   -0.6481    1.1494
    -56.00   -0.6552    1.1234
    -55.00   -0.6617    1.0970
    -54.00   -0.6675    1.0703
    -53.00   -0.6726    1.0432
    -52.00   -0.6770    1.0159
    -51.00   -0.6806    0.9883
    -50.00   -0.6836    0.9606
    -49.00   -0.6858    0.9326
    -48.00   -0.6873    0.9045
    -47.00   -0.6881    0.8763
    -46.00   -0.6881    0.8480
    -45.00   -0.6874    0.8197
    -44.00   -0.6860    0.7913
    -43.00   -0.6838    0.7630
    -42.00   -0.6809    0.7348
    -41.00   -0.6773    0.7066
    -40.00   -0.6730    0.6786
    -39.00   -0.6680    0.6507
    -38.00   -0.6622    0.6231
    -37.00   -0.6558    0.5956
    -36.00   -0.6486    0.5684
    -35.00   -0.6408    0.5415
    -34.00   -0.6324    0.5150
    -33.00   -0.6233    0.4888
    -32.00   -0.6136    0.4629
    -31.00   -0.6034    0.4375
    -30.00   -0.5926    0.4125
    -29.00   -0.5814    0.3880
    -28.00   -0.5698    0.3640
    -27.00   -0.5579    0.3405
    -26.00   -0.5459    0.3175
    -25.00   -0.5339    0.2950
    -24.00   -0.5221    0.2731
    -23.00   -0.5110    0.2518
    -22.00   -0.5010    0.2310
    -21.00   -0.4928    0.2106
    -20.00   -0.4877    0.1908
    -19.00   -0.4874    0.1712
    -18.00   -0.4945    0.1519
    -17.00   -0.5134    0.1325
    -16.00   -0.5505    0.1127
    -15.00   -0.6143    0.0922
    -14.00   -0.7117    0.0708
    -13.00   -0.8366    0.0498
    -12.00   -0.9508    0.0321
    -11.00   -0.9969    0.0210
    -10.00   -0.8793    0.0175
     -9.50   -0.8427    0.0166
     -9.00   -0.8100    0.0158
     -8.50   -0.7728    0.0153
     -8.00   -0.7267    0.0149
     -7.50   -0.6779    0.0146
     -7.00   -0.6272    0.0143
     -6.50   -0.5752    0.0141
     -6.00   -0.5221    0.0139
     -5.50   -0.4682    0.0137
     -5.00   -0.4136    0.0135
     -4.50   -0.3585    0.0134
     -4.00   -0.3029    0.0133
     -3.50   -0.2470    0.0132
     -3.00   -0.1908    0.0131
     -2.50   -0.1344    0.0130
     -2.00   -0.0779    0.0130
     -1.50   -0.0213    0.0130
     -1.00    0.0354    0.0130
     -0.50    0.0920    0.0130
      0.00    0.1486    0.0130
      0.50    0.2051    0.0130
      1.00    0.2614    0.0131
      1.50    0.3174    0.0132
      2.00    0.3732    0.0133
      2.50    0.4285    0.0134
      3.00    0.4834    0.0136
      3.50    0.5378    0.0137
      4.00    0.5915    0.0139
      4.50    0.6442    0.0141
      5.00    0.6960    0.0144
      5.50    0.7463    0.0146
      6.00    0.7946    0.0149
      6.50    0.8375    0.0153
      7.00    0.8758    0.0157
      7.50    0.9165    0.0164
      8.00    0.9565    0.0171
      8.50    0.9955    0.0180
      9.00    1.0333    0.0190
      9.50    1.0697    0.0201
     10.00    1.1046    0.0214
     10.50    1.1378    0.0229
     11.00    1.1692    0.0245
     11.50    1.1990    0.0263
     12.00    1.2279    0.0282
     12.50    1.2535    0.0304
     13.00    1.2735    0.0331
     13.50    1.2809    0.0370
     14.00    1.2902    0.0410
     14.50    1.2969    0.0453
     15.00    1.2967    0.0507
     15.50    1.2970    0.0562
     16.00    1.3060    0.0608
     16.50    1.3098    0.0663
     17.00    1.3126    0.0721
     17.50    1.3077    0.0791
     18.00    1.3118    0.0850
     18.50    1.3229    0.0901
     19.00    1.3269    0.0964
     19.50    1.3337    0.1023
     20.00    1.3357    0.1090
     21.00    1.2962    0.1437
     22.00    1.2579    0.1664
     23.00    1.2222    0.1901
     24.00    1.1897    0.2147
     25.00    1.1611    0.2400
     26.00    1.1362    0.2660
     27.00    1.1152    0.2924
     28.00    1.0976    0.3193
     29.00    1.0831    0.3467
     30.00    1.0715    0.3743
     31.00    1.0623    0.4023
     32.00    1.0552    0.4306
     33.00    1.0498    0.4591
     34.00    1.0459    0.4879
     35.00    1.0432    0.5169
     36.00    1.0413    0.5461
     37.00    1.0402    0.5755
     38.00    1.0396    0.6051
     39.00    1.0393    0.6347
     40.00    1.0392    0.6645
     41.00    1.0391    0.6944
     42.00    1.0389    0.7243
     43.00    1.0385    0.7542
     44.00    1.0378    0.7842
     45.00    1.0367    0.8141
     46.00    1.0351    0.8439
     47.00    1.0330    0.8737
     48.00    1.0303    0.9033
     49.00    1.0269    0.9328
     50.00    1.0229    0.9621
     51.00    1.0181    0.9912
     52.00    1.0125    1.0200
     53.00    1.0061    1.0485
     54.00    0.9989    1.0768
     55.00    0.9908    1.1047
     56.00    0.9818    1.1322
     57.00    0.9719    1.1594
     58.00    0.9611    1.1861
     59.00    0.9494    1.2123
     60.00    0.9367    1.2380
     61.00    0.9231    1.2633
     62.00    0.9086    1.2879
     63.00    0.8931    1.3120
     64.00    0.8767    1.3355
     65.00    0.8593    1.3583
     66.00    0.8411    1.3805
     67.00    0.8219    1.4020
     68.00    0.8018    1.4227
     69.00    0.7807    1.4428
     70.00    0.7589    1.4620
     71.00    0.7361    1.4805
     72.00    0.7125    1.4982
     73.00    0.6881    1.5150
     74.00    0.6629    1.5310
     75.00    0.6368    1.5461
     76.00    0.6101    1.5604
     77.00    0.5826    1.5737
     78.00    0.5544    1.5862
     79.00    0.5255    1.5977
     80.00    0.4960    1.6082
     81.00    0.4658    1.6178
     82.00    0.4351    1.6264
     83.00    0.4039    1.6341
     84.00    0.3721    1.6407
     85.00    0.3399    1.6464
     86.00    0.3072    1.6510
     87.00    0.2741    1.6547
     88.00    0.2407    1.6573
     89.00    0.2070    1.6589
     90.00    0.1730    1.6595
     91.00    0.1388    1.6591
     92.00    0.1044    1.6577
     93.00    0.0698    1.6552
     94.00    0.0352    1.6518
     95.00    0.0005    1.6473
     96.00   -0.0342    1.6418
     97.00   -0.0689    1.6354
     98.00   -0.1035    1.6279
     99.00   -0.1379    1.6195
    100.00   -0.1722    1.6101
    101.00   -0.2062    1.5998
    102.00   -0.2400    1.5885
    103.00   -0.2734    1.5763
    104.00   -0.3065    1.5631
    105.00   -0.3392    1.5491
    106.00   -0.3714    1.5342
    107.00   -0.4031    1.5185
    108.00   -0.4343    1.5019
    109.00   -0.4649    1.4845
    110.00   -0.4948    1.4662
    111.00   -0.5241    1.4472
    112.00   -0.5527    1.4275
    113.00   -0.5805    1.4070
    114.00   -0.6075    1.3859
    115.00   -0.6411    1.3640
    116.00   -0.6663    1.3415
    117.00   -0.6905    1.3184
    118.00   -0.7139    1.2947
    119.00   -0.7363    1.2704
    120.00   -0.7576    1.2456
    121.00   -0.7780    1.2203
    122.00   -0.7972    1.1945
    123.00   -0.8154    1.1682
    124.00   -0.8325    1.1416
    125.00   -0.8484    1.1146
    126.00   -0.8631    1.0872
    127.00   -0.8767    1.0596
    128.00   -0.8890    1.0316
    129.00   -0.9002    1.0034
    130.00   -0.9101    0.9750
    131.00   -0.9187    0.9465
    132.00   -0.9261    0.9178
    133.00   -0.9322    0.8890
    134.00   -0.9371    0.8601
    135.00   -0.9406    0.8312
    136.00   -0.9429    0.8023
    137.00   -0.9439    0.7735
    138.00   -0.9436    0.7447
    139.00   -0.9421    0.7160
    140.00   -0.9392    0.6875
    141.00   -0.9351    0.6592
    142.00   -0.9298    0.6311
    143.00   -0.9232    0.6032
    144.00   -0.9154    0.5756
    145.00   -0.9064    0.5483
    146.00   -0.8962    0.5214
    147.00   -0.8848    0.4948
    148.00   -0.8723    0.4687
    149.00   -0.8587    0.4430
    150.00   -0.8440    0.4178
    151.00   -0.8283    0.3931
    152.00   -0.8116    0.3690
    153.00   -0.7939    0.3454
    154.00   -0.7752    0.3224
    155.00   -0.7557    0.3000
    156.00   -0.7354    0.2783
    157.00   -0.7143    0.2572
    158.00   -0.6925    0.2369
    159.00   -0.6701    0.2173
    160.00   -0.6471    0.1984
    161.00   -0.6236    0.1803
    162.00   -0.5998    0.1630
    163.00   -0.5756    0.1465
    164.00   -0.5513    0.1309
    165.00   -0.5270    0.1161
    166.00   -0.5029    0.1022
    167.00   -0.4790    0.0891
    168.00   -0.4558    0.0770
    169.00   -0.4332    0.0658
    170.00   -0.4117    0.0555
    171.00   -0.3912    0.0462
    172.00   -0.3719    0.0378
    173.00   -0.3531    0.0304
    174.00   -0.3339    0.0239
    175.00   -0.3119    0.0185
    176.00   -0.2834    0.0140
    177.00   -0.2438    0.0105
    178.00   -0.1894    0.0080
    179.00   -0.1194    0.0065
    180.00   -0.0375    0.0060
    180.00   -0.0375    0.0060
