First column is AoA (deg) and first row is FIXED Reynolds Number
-168.000000	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620	0.445620
-167.000000	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180	0.470180
-166.000000	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740	0.494740
-165.000000	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300	0.519300
-164.000000	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860	0.543860
-163.000000	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420	0.568420
-162.000000	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980	0.592980
-161.000000	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540	0.617540
-160.000000	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100	0.642100
-159.000000	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580	0.656580
