AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:49:41 Compatible with AeroDyn v13.0.
Polar "T1_Re1.100_M0.00_N9.0 360 M" on Foil "T1_Re1.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
20.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.46          Angle of attack for zero Cn for linear Cn curve (deg)
6.91483        Cn slope for zero lift for linear Cn curve (1/rad)
1.0493         Cn at stall value for positive angle of attack for linear Cn curve
-0.7065        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0074         Minimum CD value
   -180.00   -0.0416    0.0060
   -179.00    0.0548    0.0065
   -178.00    0.1503    0.0080
   -177.00    0.2403    0.0105
   -176.00    0.3151    0.0140
   -175.00    0.3636    0.0184
   -174.00    0.3833    0.0239
   -173.00    0.3828    0.0303
   -172.00    0.3747    0.0377
   -171.00    0.3678    0.0461
   -170.00    0.3658    0.0553
   -169.00    0.3692    0.0656
   -168.00    0.3771    0.0767
   -167.00    0.3884    0.0888
   -166.00    0.4021    0.1017
   -165.00    0.4175    0.1155
   -164.00    0.4339    0.1302
   -163.00    0.4509    0.1457
   -162.00    0.4681    0.1621
   -161.00    0.4853    0.1792
   -160.00    0.5022    0.1971
   -159.00    0.5188    0.2158
   -158.00    0.5348    0.2352
   -157.00    0.5502    0.2553
   -156.00    0.5649    0.2761
   -155.00    0.5789    0.2976
   -154.00    0.5922    0.3197
   -153.00    0.6045    0.3424
   -152.00    0.6161    0.3657
   -151.00    0.6267    0.3895
   -150.00    0.6365    0.4138
   -149.00    0.6453    0.4387
   -148.00    0.6532    0.4640
   -147.00    0.6601    0.4897
   -146.00    0.6661    0.5158
   -145.00    0.6712    0.5423
   -144.00    0.6753    0.5691
   -143.00    0.6785    0.5962
   -142.00    0.6807    0.6236
   -141.00    0.6819    0.6513
   -140.00    0.6823    0.6791
   -139.00    0.6817    0.7071
   -138.00    0.6801    0.7352
   -137.00    0.6777    0.7634
   -136.00    0.6744    0.7917
   -135.00    0.6702    0.8200
   -134.00    0.6651    0.8483
   -133.00    0.6592    0.8766
   -132.00    0.6524    0.9048
   -131.00    0.6448    0.9329
   -130.00    0.6364    0.9608
   -129.00    0.6272    0.9886
   -128.00    0.6173    1.0161
   -127.00    0.6066    1.0434
   -126.00    0.5952    1.0705
   -125.00    0.5831    1.0972
   -124.00    0.5703    1.1236
   -123.00    0.5569    1.1496
   -122.00    0.5428    1.1752
   -121.00    0.5281    1.2004
   -120.00    0.5128    1.2251
   -119.00    0.4970    1.2493
   -118.00    0.4806    1.2730
   -117.00    0.4637    1.2961
   -116.00    0.4463    1.3187
   -115.00    0.4285    1.3406
   -114.00    0.4102    1.3619
   -113.00    0.3915    1.3825
   -112.00    0.3724    1.4025
   -111.00    0.3529    1.4217
   -110.00    0.3331    1.4403
   -109.00    0.3124    1.4580
