AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 09:28:29 Compatible with AeroDyn v13.0.
Polar "T1_Re3.900_M0.00_N9.0 360 M" on Foil "T1_Re3.900_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.58513        Cn slope for zero lift for linear Cn curve (1/rad)
1.1846         Cn at stall value for positive angle of attack for linear Cn curve
-1.0927        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0093         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0919    0.0065
   -178.00    0.1838    0.0080
   -177.00    0.2758    0.0106
   -176.00    0.3677    0.0141
   -175.00    0.4596    0.0187
   -174.00    0.5515    0.0242
   -173.00    0.6435    0.0308
   -172.00    0.7345    0.0383
   -171.00    0.8131    0.0468
   -170.00    0.8482    0.0563
   -169.00    0.8149    0.0668
   -168.00    0.7350    0.0781
   -167.00    0.6556    0.0904
   -166.00    0.6012    0.1037
   -165.00    0.5721    0.1178
   -164.00    0.5614    0.1328
   -163.00    0.5624    0.1486
   -162.00    0.5706    0.1653
   -161.00    0.5833    0.1829
   -160.00    0.5984    0.2012
   -159.00    0.6150    0.2203
   -158.00    0.6323    0.2401
   -157.00    0.6497    0.2607
   -156.00    0.6670    0.2820
   -155.00    0.6839    0.3040
   -154.00    0.7003    0.3266
   -153.00    0.7160    0.3499
   -152.00    0.7310    0.3737
   -151.00    0.7451    0.3982
   -150.00    0.7583    0.4231
   -149.00    0.7706    0.4486
   -148.00    0.7818    0.4745
   -147.00    0.7921    0.5009
   -146.00    0.8013    0.5277
   -145.00    0.8095    0.5549
   -144.00    0.8165    0.5825
   -143.00    0.8225    0.6103
   -142.00    0.8274    0.6384
   -141.00    0.8311    0.6668
   -140.00    0.8337    0.6954
   -139.00    0.8352    0.7241
   -138.00    0.8356    0.7530
   -137.00    0.8348    0.7820
   -136.00    0.8329    0.8111
   -135.00    0.8299    0.8402
   -134.00    0.8258    0.8693
   -133.00    0.8206    0.8984
   -132.00    0.8142    0.9274
   -131.00    0.8068    0.9563
   -130.00    0.7983    0.9851
   -129.00    0.7888    1.0137
   -128.00    0.7781    1.0420
   -127.00    0.7665    1.0702
   -126.00    0.7539    1.0980
   -125.00    0.7402    1.1255
   -124.00    0.7256    1.1527
   -123.00    0.7101    1.1795
   -122.00    0.6936    1.2059
   -121.00    0.6762    1.2318
   -120.00    0.6580    1.2573
   -119.00    0.6389    1.2822
   -118.00    0.6190    1.3066
   -117.00    0.5983    1.3305
   -116.00    0.5769    1.3537
   -115.00    0.5547    1.3764
   -114.00    0.5319    1.3983
   -113.00    0.5084    1.4196
   -112.00    0.4842    1.4402
   -111.00    0.4595    1.4600
   -110.00    0.4342    1.4791
   -109.00    0.4084    1.4974
   -108.00    0.3820    1.5149
   -107.00    0.3553    1.5316
   -106.00    0.3281    1.5475
   -105.00    0.3005    1.5625
   -104.00    0.2726    1.5766
   -103.00    0.2410    1.5898
   -102.00    0.2124    1.6020
   -101.00    0.1836    1.6134
   -100.00    0.1546    1.6238
    -99.00    0.1254    1.6333
    -98.00    0.0961    1.6418
    -97.00    0.0667    1.6493
    -96.00    0.0373    1.6558
    -95.00    0.0079    1.6613
    -94.00   -0.0216    1.6659
    -93.00   -0.0509    1.6694
    -92.00   -0.0802    1.6719
    -91.00   -0.1094    1.6734
    -90.00   -0.1384    1.6738
    -89.00   -0.1672    1.6733
    -88.00   -0.1957    1.6717
    -87.00   -0.2240    1.6692
    -86.00   -0.2520    1.6656
    -85.00   -0.2797    1.6610
    -84.00   -0.3070    1.6554
    -83.00   -0.3340    1.6488
    -82.00   -0.3605    1.6412
    -81.00   -0.3865    1.6326
    -80.00   -0.4121    1.6231
    -79.00   -0.4372    1.6126
    -78.00   -0.4617    1.6012
    -77.00   -0.4857    1.5888
    -76.00   -0.5091    1.5755
    -75.00   -0.5319    1.5613
    -74.00   -0.5541    1.5462
    -73.00   -0.5757    1.5303
    -72.00   -0.5965    1.5135
    -71.00   -0.6167    1.4959
    -70.00   -0.6362    1.4775
    -69.00   -0.6549    1.4583
    -68.00   -0.6729    1.4384
    -67.00   -0.6902    1.4177
    -66.00   -0.7067    1.3963
    -65.00   -0.7224    1.3742
    -64.00   -0.7373    1.3514
    -63.00   -0.7514    1.3280
    -62.00   -0.7647    1.3040
    -61.00   -0.7772    1.2795
    -60.00   -0.7888    1.2544
    -59.00   -0.7996    1.2287
    -58.00   -0.8096    1.2026
    -57.00   -0.8188    1.1761
    -56.00   -0.8271    1.1491
    -55.00   -0.8346    1.1217
    -54.00   -0.8412    1.0939
    -53.00   -0.8471    1.0659
    -52.00   -0.8521    1.0375
    -51.00   -0.8563    1.0088
    -50.00   -0.8597    0.9800
    -49.00   -0.8624    0.9509
    -48.00   -0.8642    0.9217
    -47.00   -0.8654    0.8924
    -46.00   -0.8658    0.8629
    -45.00   -0.8655    0.8334
    -44.00   -0.8645    0.8039
    -43.00   -0.8630    0.7743
    -42.00   -0.8608    0.7448
    -41.00   -0.8581    0.7154
    -40.00   -0.8549    0.6861
    -39.00   -0.8513    0.6569
    -38.00   -0.8474    0.6278
    -37.00   -0.8431    0.5989
    -36.00   -0.8387    0.5703
    -35.00   -0.8343    0.5419
    -34.00   -0.8299    0.5137
    -33.00   -0.8257    0.4858
    -32.00   -0.8219    0.4583
    -31.00   -0.8186    0.4311
    -30.00   -0.8162    0.4042
    -29.00   -0.8150    0.3776
    -28.00   -0.8151    0.3515
    -27.00   -0.8171    0.3257
    -26.00   -0.8213    0.3004
    -25.00   -0.8282    0.2754
    -24.00   -0.8384    0.2509
    -23.00   -0.8526    0.2268
    -22.00   -0.8712    0.2032
    -21.00   -0.8949    0.1801
    -20.00   -0.9240    0.1577
    -19.00   -0.9585    0.1360
    -18.00   -0.9977    0.1152
    -17.00   -1.0400    0.0956
    -16.00   -1.0827    0.0776
    -15.00   -1.1213    0.0615
    -14.00   -1.1502    0.0477
    -13.00   -1.1634    0.0365
    -12.00   -1.1558    0.0280
    -11.00   -1.1244    0.0220
    -10.00   -1.1074    0.0120
     -9.50   -1.0588    0.0116
     -9.00   -1.0073    0.0113
     -8.50   -0.9569    0.0109
     -8.00   -0.9051    0.0106
     -7.50   -0.8514    0.0103
     -7.00   -0.7961    0.0102
     -6.50   -0.7404    0.0101
     -6.00   -0.6845    0.0099
     -5.50   -0.6283    0.0098
     -5.00   -0.5718    0.0097
     -4.50   -0.5152    0.0097
     -4.00   -0.4584    0.0096
     -3.50   -0.4014    0.0095
     -3.00   -0.3443    0.0095
     -2.50   -0.2871    0.0094
     -2.00   -0.2298    0.0094
     -1.50   -0.1724    0.0093
     -1.00   -0.1150    0.0093
     -0.50   -0.0575    0.0093
      0.00   -0.0000    0.0093
      0.50    0.0575    0.0093
      1.00    0.1150    0.0093
      1.50    0.1724    0.0093
      2.00    0.2298    0.0094
      2.50    0.2871    0.0094
      3.00    0.3443    0.0095
      3.50    0.4015    0.0095
      4.00    0.4584    0.0096
      4.50    0.5153    0.0097
      5.00    0.5719    0.0097
      5.50    0.6283    0.0098
      6.00    0.6846    0.0099
      6.50    0.7405    0.0101
      7.00    0.7962    0.0102
      7.50    0.8516    0.0103
      8.00    0.9053    0.0106
      8.50    0.9571    0.0109
      9.00    1.0075    0.0113
      9.50    1.0590    0.0116
     10.00    1.1078    0.0120
     10.50    1.1568    0.0124
     11.00    1.2043    0.0128
     11.50    1.2480    0.0134
     12.00    1.2918    0.0138
     12.50    1.3278    0.0142
     13.00    1.3653    0.0150
     13.50    1.4018    0.0158
     14.00    1.4402    0.0165
     14.50    1.4771    0.0173
     15.00    1.5107    0.0183
     15.50    1.5389    0.0196
     16.00    1.5639    0.0213
     16.50    1.5880    0.0232
     17.00    1.6148    0.0249
     17.50    1.6393    0.0270
     18.00    1.6607    0.0295
     18.50    1.6774    0.0324
     19.00    1.6879    0.0361
     19.50    1.6909    0.0408
     20.00    1.6885    0.0463
     21.00    1.6238    0.1017
     22.00    1.5655    0.1251
     23.00    1.5020    0.1507
     24.00    1.4374    0.1780
     25.00    1.3748    0.2065
     26.00    1.3163    0.2358
     27.00    1.2630    0.2657
     28.00    1.2155    0.2960
     29.00    1.1738    0.3264
     30.00    1.1377    0.3571
     31.00    1.1067    0.3878
     32.00    1.0802    0.4186
     33.00    1.0576    0.4494
     34.00    1.0386    0.4802
     35.00    1.0224    0.5111
     36.00    1.0087    0.5419
     37.00    0.9971    0.5728
     38.00    0.9871    0.6037
     39.00    0.9784    0.6346
     40.00    0.9708    0.6655
     41.00    0.9640    0.6963
     42.00    0.9578    0.7271
     43.00    0.9520    0.7579
     44.00    0.9465    0.7886
     45.00    0.9410    0.8192
     46.00    0.9356    0.8496
     47.00    0.9300    0.8800
     48.00    0.9241    0.9101
     49.00    0.9180    0.9401
     50.00    0.9115    0.9698
     51.00    0.9046    0.9993
     52.00    0.8972    1.0286
     53.00    0.8892    1.0575
     54.00    0.8807    1.0861
     55.00    0.8716    1.1143
     56.00    0.8619    1.1421
     57.00    0.8515    1.1695
     58.00    0.8404    1.1964
     59.00    0.8287    1.2229
     60.00    0.8162    1.2488
     61.00    0.8031    1.2743
     62.00    0.7892    1.2991
     63.00    0.7746    1.3234
     64.00    0.7593    1.3470
     65.00    0.7433    1.3700
     66.00    0.7265    1.3923
     67.00    0.7091    1.4139
     68.00    0.6909    1.4348
     69.00    0.6721    1.4549
     70.00    0.6525    1.4743
     71.00    0.6323    1.4929
     72.00    0.6114    1.5106
     73.00    0.5899    1.5276
     74.00    0.5677    1.5436
     75.00    0.5450    1.5588
     76.00    0.5216    1.5732
     77.00    0.4977    1.5866
     78.00    0.4732    1.5990
     79.00    0.4482    1.6106
     80.00    0.4227    1.6212
     81.00    0.3967    1.6308
     82.00    0.3702    1.6395
     83.00    0.3433    1.6471
     84.00    0.3160    1.6538
     85.00    0.2884    1.6595
     86.00    0.2604    1.6642
     87.00    0.2321    1.6678
     88.00    0.2035    1.6705
     89.00    0.1747    1.6721
     90.00    0.1456    1.6727
     91.00    0.1164    1.6723
     92.00    0.0870    1.6708
     93.00    0.0575    1.6684
     94.00    0.0279    1.6649
     95.00   -0.0018    1.6604
     96.00   -0.0314    1.6549
     97.00   -0.0610    1.6485
     98.00   -0.0906    1.6410
     99.00   -0.1201    1.6325
    100.00   -0.1494    1.6231
    101.00   -0.1786    1.6127
    102.00   -0.2075    1.6014
    103.00   -0.2363    1.5892
    104.00   -0.2726    1.5760
    105.00   -0.3005    1.5619
    106.00   -0.3281    1.5470
    107.00   -0.3553    1.5311
    108.00   -0.3820    1.5145
    109.00   -0.4084    1.4970
    110.00   -0.4342    1.4787
    111.00   -0.4595    1.4596
    112.00   -0.4842    1.4398
    113.00   -0.5084    1.4192
    114.00   -0.5319    1.3980
    115.00   -0.5547    1.3760
    116.00   -0.5769    1.3534
    117.00   -0.5984    1.3302
    118.00   -0.6190    1.3064
    119.00   -0.6389    1.2820
    120.00   -0.6580    1.2570
    121.00   -0.6762    1.2316
    122.00   -0.6936    1.2057
    123.00   -0.7101    1.1793
    124.00   -0.7256    1.1525
    125.00   -0.7402    1.1253
    126.00   -0.7539    1.0978
    127.00   -0.7665    1.0700
    128.00   -0.7782    1.0419
    129.00   -0.7888    1.0135
    130.00   -0.7983    0.9849
    131.00   -0.8068    0.9562
    132.00   -0.8142    0.9273
    133.00   -0.8206    0.8983
    134.00   -0.8258    0.8692
    135.00   -0.8300    0.8401
    136.00   -0.8330    0.8110
    137.00   -0.8349    0.7820
